mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,zcr_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_bandwidth_mean,rms_mean,rms_std,chroma_mean,label,label_idx
-365.3442,209.32115,89.651505,76.1894,-38.66425,44.319454,4.745991,15.738825,-10.552991,19.487518,36.698063,33.023884,-27.568329,29.13347,-13.373406,13.936725,-7.8186507,11.083369,-20.84345,18.882061,-14.505719,12.88861,-14.841748,15.760855,0.18212163,8.786282,0.07105895294540229,0.06088749825322297,1170.7944276911292,1041.2909716230113,2100.6010910560344,1021.7361274256978,0.076319434,0.07907854,0.261682,covid,0
-415.86224,232.05876,55.41997,71.464195,-31.054575,43.52248,9.762113,13.664664,-7.9758916,16.052048,18.223906,24.081259,-23.778955,31.408228,-4.6913834,8.303872,-8.415932,12.88304,-11.774665,16.42792,-3.7745495,6.242921,-5.9936495,9.8714485,-0.49287507,6.0316796,0.052689475574712645,0.07058494012160382,843.3469154572487,1101.3985373864846,1531.951272898707,705.542844345177,0.06771046,0.093235955,0.1710379,covid,0
-440.36517,182.87343,32.85025,43.753746,-12.27434,24.39435,17.529047,30.149448,-23.059776,37.46145,1.8741742,7.8331184,-6.0274215,15.837394,-2.6984189,8.870567,-5.3971596,9.130251,-5.1745253,7.2074847,-6.995727,10.078975,-5.871326,9.362663,0.8880662,4.5558844,0.0908203125,0.10108206771071426,1319.3706191929089,1389.3974907634424,2420.0102707435344,980.9149634492262,0.03244487,0.06125177,0.23743534,covid,0
-461.97974,192.78107,30.568974,46.938213,-13.975046,24.572866,20.949303,33.943813,-20.300735,34.437294,0.13339418,4.557199,-8.6626835,14.199497,-1.047995,7.633096,-4.9057775,10.632945,-4.2711215,8.779649,-5.579669,9.398134,-6.757174,10.594052,3.1068957,5.635889,0.0603167654454023,0.09376417145238909,964.1420817516705,1412.6327718828063,1709.0433054956898,690.2425539202009,0.027311545,0.05094584,0.18357933,covid,0
-434.8325,177.86076,31.313454,46.244976,-13.423393,22.949545,18.57594,29.933432,-18.4849,30.79167,-0.31557012,3.9488685,-7.537242,14.208155,-0.33954278,8.047429,-4.232419,8.658365,-5.6549954,8.296151,-6.9340315,10.763061,-6.8874245,10.732862,1.6941805,4.756902,0.07846174568965517,0.1003504933132172,1168.0853632264848,1413.7476397409016,2138.96484375,839.2564563668087,0.02915008,0.057633374,0.21538621,covid,0
-436.1152,175.47571,37.52521,49.592297,-5.936467,18.418,19.56364,31.956245,-21.484818,33.633102,-3.6937628,9.10256,-12.221336,17.66147,-3.8946404,11.068382,-6.156573,10.509124,-4.941145,7.729264,-4.957308,10.679337,-6.6600285,9.91084,0.43850037,4.5139914,0.05620846803160919,0.07970080726587805,1003.1356084502273,1318.967661600639,1939.1020676185344,834.6049765369556,0.035551917,0.06859106,0.17319337,covid,0
-424.6073,168.75465,34.452496,48.334732,-7.3810096,20.603966,18.687332,29.309246,-20.985918,35.590614,-1.9188888,6.840478,-9.264286,16.138222,-1.4373038,10.143185,-4.4651923,8.154091,-6.188252,8.8984165,-5.6924605,8.317675,-7.7640176,10.796462,0.013014476,3.68353,0.054850260416666664,0.07813968447363166,1030.2667361298652,1365.4228894028504,2028.0812230603449,840.2985244203699,0.0362204,0.069154516,0.16774373,covid,0
-386.82965,202.24657,41.455532,51.781147,-31.097399,40.497746,15.598745,23.997114,-17.715313,26.668259,-0.29395464,14.889787,-18.411182,25.912329,-2.9999278,8.415964,-4.3682237,8.889782,4.188536,8.005164,0.7038275,8.817335,-11.273197,15.778748,2.5617912,9.534856,0.07372485632183907,0.09013437871568918,1140.2019249257278,1344.2203912098432,2041.4466594827586,821.8909307233297,0.049485657,0.07274205,0.18141995,covid,0
-440.8329,194.82845,45.866215,64.46977,-25.882694,38.541817,9.519362,21.33575,-6.4209995,16.986122,-8.1841955,18.299358,-19.498432,27.58037,-1.6653874,8.2154455,-9.550103,15.426444,1.8829777,6.826519,1.6750337,7.2367473,-13.072822,20.338007,1.2473071,7.597837,0.05081492456896552,0.06918422778889072,860.8739336234231,1199.364683192237,1562.6422750538793,643.6260851264867,0.039133172,0.06698073,0.175912,covid,0
-424.3265,184.37851,44.237366,61.518208,-23.578102,34.48921,15.069482,22.211569,-5.519819,13.0951805,-5.5476704,12.205425,-15.355977,23.209753,-1.0589819,6.762447,-4.7710896,10.505126,2.0363421,7.440471,-2.6547909,8.703521,-11.423993,18.225014,1.4845165,4.70041,0.05040521731321839,0.06976332683423704,773.7143876146973,1087.4439921420826,1373.669854525862,613.4759288567393,0.03421552,0.05903037,0.15487,covid,0
